Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total,Predicted_Lambda2,deformation_direction,deformation_type,LDT_transformation_strain
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[0, 1, 1]",compression,4.740659941
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[1, 1, 2]",tension,9.019241767
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[1, 1, 2]",compression,5.443913739
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[1, 4, 8]",tension,8.08543973
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[1, 4, 8]",compression,6.303533876
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[2, -2, -1]",tension,10.10480888
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[2, -2, -1]",compression,4.592993793
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[8, -8, -1]",tension,8.973458737
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[8, -8, -1]",compression,4.884054616
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[4, -4, 1]",tension,9.574377968
