Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total,Predicted_Lambda2,deformation_direction,deformation_type,LDT_transformation_strain
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[4, -4, 1]",tension,10.51011346
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[4, -4, 1]",compression,5.484787473
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[3, -3, 2]",tension,11.56042448
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[3, -3, 2]",compression,4.461944996
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[8, -8, 3]",tension,11.09543348
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[8, -8, 3]",compression,5.282378716
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[5, -5, 4]",tension,11.42858247
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[5, -5, 4]",compression,3.995502802
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[5, -5, 7]",tension,11.09616112
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[5, -5, 7]",compression,4.479476491
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[2, -2, 5]",tension,9.655041354
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[2, -2, 5]",compression,6.889407106
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[1, 1, 1]",tension,9.14395095
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[1, 1, 1]",compression,3.208855463
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100,0.971,"[0, 1, 1]",tension,8.154023267
